-20 -76 -25
97 19 64
64 -30 8
-79 38 78
62 50 -56
19 100 75
48 20 -60
-47 68 -11
-60 60 91
55 13 -29
83 24 41
-58 21 -93
92 -58 78
68 58 -29
-52 79 -27
-76 -63 82
-9 -37 -22
-45 11 79
13 -63 -44
-17 -45 83
98 -56 100
24 -68 -94
-8 78 -92
-55 -57 -57
-3 -40 20
-38 11 -39
-61 18 72
-81 -14 -73
12 62 30
76 -18 32
-4 78 79
7 45 5
-93 -89 -5
-96 22 -26
43 6 -8
9 16 -80
-89 35 -17
-94 100 74
-88 17 -19
91 -41 -100
-16 -25 98
-40 58 28
-78 75 -84
-11 2 36
79 -95 64
69 80 -11
-68 35 -71
-17 83 0
-57 78 50
-20 -44 8
-46 -45 73
-91 -83 -92
-90 -30 24
-83 44 45
2 -82 -65
-60 31 51
-36 23 -34
-24 51 63
-20 -34 13
77 -22 46
46 70 19
-40 -6 -16
-34 6 0
-28 -22 -7
46 2 -11
12 -84 4
54 35 -95
91 -62 90
-12 38 -5
-13 14 94
-20 59 -10
1 -59 11
22 34 -20
7 58 -38
-72 95 77
-40 18 -52
0 16 -57
39 61 -1
-29 -57 -57
-69 45 -11
-35 62 -78
-9 5 29
-60 48 71
-95 -18 40
-26 98 -23
4 -8 -37
90 -46 89
42 -60 -39
22 91 53
-7 -82 11
32 61 -12
19 -26 -99
36 28 98
90 20 -33
-3 -51 -78
95 -38 33
-81 -9 -81
-57 22 -90
-50 -70 -56
-58 43 -77
